מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25,סוף מידע
1328,12138.0,Ginkgo Bioworks Holdings Inc,254900B6L3GN956CY454,LEI,Ginkgo Bioworks Holdings Inc,US37611X1182,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US37611X2099,Biotechnology,2026-09-16,לא,USD,11.5,1.0,2894.48,3.306,0.73,0.07,0.000467,0.0,,
1328,12138.0,CLASSOVER HOLDINGS INC-CL B,96899,פנימי,Classover Holdings Inc,US1827441106,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1827441023,Interactive Media & Services,2030-04-07,לא,USD,11.5,1.0,2478.73,3.306,8.02,0.657,0.004398,0.0,,
1328,12138.0,Plum Acquisition Corp I,13801,פנימי,Veea Inc,US6934891143,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US6934891226,Diversified Telecommunication Services,2029-09-17,לא,USD,11.5,1.0,494.7,3.306,7.0,0.114,0.000766,0.0,,
1328,12138.0,Terran Orbital Corp,14335,פנימי,Terran Orbital Corp,US88105P1113,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US88105P1030,Aerospace & Defense,2027-03-25,לא,USD,11.5,1.0,1976.16,3.306,0.69,0.045,0.000301,0.0,,
1328,12138.0,ATLANTIC COAST ACQUISITION-A,70422,פנימי,Abpro Holdings Inc,US0008471114,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US04845A1088,Biotechnology,2029-11-12,לא,USD,11.5,1.0,562.17,3.306,2.36,0.044,0.000293,0.0,,
1328,12138.0,FALCON'S BEYOND GLOBAL INC-A,14460,פנימי,Falcon's Beyond Global Inc,US3061211120,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US3061211047,Entertainment,2027-09-01,לא,USD,11.5,1.0,265.12,3.306,168.0,1.473,0.009856,0.0,,
1328,12138.0,Athena Technology Acquisition,5493008CK2CE7TGDP465,LEI,Athena Technology Acquisition,US04687C1137,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US04687C1053,Financial Services,2028-10-17,לא,USD,11.5,1.0,2095.43,3.306,2.7,0.187,0.001251,0.0,,
1328,12138.0,TABOOLA.COM LTD,984500F5945AFAFFCB30,LEI,Taboola.com Ltd,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Trading Companies & Distributors,2026-06-29,לא,USD,11.5,1.0,919.22,3.306,8.5,0.258,0.001728,0.0,,
1328,12138.0,SATELLOGIC INC-A,14211,פנימי,Satellogic Inc,US80401C1181,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,VGG7823S1011,Aerospace & Defense,2027-01-25,לא,USD,11.5,1.0,830.26,3.306,35.0,0.961,0.00643,0.0,,
1328,12138.0,HELIOGEN INC,14185,פנימי,Heliogen Inc,US42329E1139,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US42329E1055,Electric Utilities,2028-03-31,לא,USD,402.5,1.0,374.78,3.306,0.71,0.009,5.8e-05,0.0,,
