מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",509.88812,0.00429
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",590.82085,0.004971
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",446.93596,0.00376
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",143.92736,0.004874
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",109.81288,0.003719
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",119.6348,0.004051
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",11.50915,0.000389
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",110.21782,0.003732
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",121.07419,0.0041
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",58.72629,0.001988
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",25.78142,0.000873
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",178.37785,0.006041
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",123.91973,0.004196
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",201.95294,0.006839
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",108.85554,0.003686
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",124.18814,0.004206
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",64.9815,0.0022
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",5.09694,0.000172
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",194.687,0.006593
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",143.90009,0.004873
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",130.87135,0.004432
214,14200,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",89.95956,0.003046
