Unnamed: 0,מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה,Unnamed: 8
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,34229.83323,0.003444,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,16289.88604,0.001639,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,7538.20071,0.000758,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,21716.06902,0.002185,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,55337.68714,0.005568,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,29584.72483,0.002977,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,2439.76031,0.000245,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,23228.79007,0.002337,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,34202.07365,0.003441,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,38363.89086,0.00386,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,34730.27706,0.003494,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,44642.28554,0.004492,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,22982.76423,0.002312,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,53242.68286,0.005357,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,26361.35392,0.002652,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,41063.52745,0.004132,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,31384.18736,0.003158,
,168,2013.0,החזקה באפיק השקעה מובטח תשואה,,,25564.02234,0.002572,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,43200.93567,0.00313,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,56524.73289,0.004096,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,31636.21564,0.002292,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,61450.96202,0.004453,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,47806.8923,0.003464,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,77854.77898,0.005642,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,31974.87492,0.002317,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,66190.66794,0.004797,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,10376.47782,0.000752,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,47079.81018,0.003411,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,40723.94099,0.002951,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,76173.3874,0.00552,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,36286.90913,0.002629,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,3358.37684,0.000243,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,52808.63137,0.003827,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,73289.57384,0.005311,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,29892.58539,0.002166,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,91756.54142,0.006649,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,35189.36692,0.00255,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,41125.00073,0.00298,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,22423.34049,0.001625,
,168,2014.0,החזקה באפיק השקעה מובטח תשואה,,,47118.02177,0.003414,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,14228.83578,0.000751,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,48253.72652,0.002548,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,40990.46863,0.002164,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,84265.16803,0.00445,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,65555.61834,0.003462,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,90764.53114,0.004793,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,72414.29669,0.003824,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,43845.82632,0.002315,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,49758.74086,0.002627,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,30748.20136,0.001623,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,59239.66011,0.003128,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,43381.43683,0.002291,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,106759.04521,0.005638,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,56393.0162,0.002978,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,125821.9583,0.006644,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,104453.42233,0.005516,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,100498.96781,0.005307,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,55843.05953,0.002949,
,168,2015.0,החזקה באפיק השקעה מובטח תשואה,,,64558.60063,0.003409,
