Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24
,665,13351.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תלבונד שקלי,IL0011451841,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- לא צמודות",לא,ILS,12435.17,1.0,421.35,,52.39557,4.8e-05,0.019052,0.001577,
,665,13351.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תא 35,IL0011465700,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"35 מניות בארץ - מניות כללי-ת""א",לא,ILS,48.65,1.0,31380.0,,15.26487,5e-06,0.00555,0.000459,
,665,13351.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תלבונד 60‎,IL0011499964,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,14791.47,1.0,499.28,,73.85084,9.1e-05,0.026854,0.002223,
,665,13351.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תלבונד ש 50,IL0011507626,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,2853.44,1.0,4241.12,,121.01773,0.000123,0.044006,0.003643,
,665,13351.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תלבונד 60,IL0011451015,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,32890.13,1.0,392.09,,128.95892,8.7e-05,0.046893,0.003882,
,665,13351.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תלבונד שקלי 50,IL0011693335,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,1598.45,1.0,4181.43,,66.83818,0.000112,0.024304,0.002012,
,665,13351.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תא 125,IL0011502833,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,58.55,1.0,5003.0,,2.92939,0.0,0.001065,8.8e-05,
,665,13351.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תלבונד שקלי,IL0011500027,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- לא צמודות",לא,ILS,3090.64,1.0,487.71,,15.07334,2.1e-05,0.005481,0.000453,
,665,13351.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תלבונד 20,IL0011504409,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,9943.55,1.0,401.77,,39.95021,0.000106,0.014527,0.001202,
,665,13351.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תלבונד שקלי,IL0011464141,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- לא צמודות",לא,ILS,2863.32,1.0,4185.19,,119.83517,8.8e-05,0.043576,0.003607,
