מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
667,15434,חייבים זכאים תפעולי,60101335,חייבים וזכאים,ישראל,ישראל,לא,2018-04-12,ILS,2025-09-30,196.256,1.0,196.2557873,,,97.783%,0.780%
667,15434,מס לקבל מפעל מאושר שנת 2025,20805062,חייבים וזכאים מס,ישראל,ישראל,לא,2024-01-08,ILS,2024-01-08,0.582,1.0,0.58219,,,0.290%,0.002%
667,15434,מס לקבל 2019-2023 אירו  להחזר מ WTAX,999999440,חייבים וזכאים מס,ישראל,ישראל,לא,2022-06-30,EUR,2025-09-30,0.01,3.8807,0.03696,,,0.018%,0.000%
667,15434,מס לקבל 2025 מניות דואליות  בישראל דולר,999999499,חייבים וזכאים מס,ישראל,ישראל,לא,2022-06-30,USD,2025-09-30,0.301,3.306,0.99365,,,0.495%,0.004%
667,15434,מס לקבל 2025 דולר קנדי להחזר מ WTAX,20803056,חייבים וזכאים מס,ישראל,ישראל,לא,2023-03-06,CAD,2025-09-30,0.274,2.3745,0.65136,,,0.325%,0.003%
667,15434,מס לקבל דולר 2019-2023  להחזר מ WTAX,99368085,חייבים וזכאים מס,ישראל,ישראל,לא,2025-05-28,USD,2025-09-30,0.033,3.306,0.10763,,,0.054%,0.000%
667,15434,מס לקבל 2024 דולר קנדי להחזר מ WTAX,99368105,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,CAD,2025-09-30,0.252,2.3745,0.59847,,,0.298%,0.002%
667,15434,מס לקבל 2019-2023 דולר קנדי להחזר מ WTAX,99368106,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,CAD,2025-09-30,0.421,2.3745,1.00081,,,0.499%,0.004%
667,15434,מס לקבל 2024 מניות דואליות  בישראל דולר,99368107,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,USD,2025-09-30,0.13,3.306,0.43013,,,0.214%,0.002%
667,15434,מס לקבל 2023 מניות דואליות  בישראל דולר,99368108,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,USD,2025-09-30,0.001,3.306,0.00361,,,0.002%,0.000%
667,15434,מס לקבל מפעל מאושר שנת 2024,99368109,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-14,USD,2025-09-30,0.014,3.306,0.04533,,,0.023%,0.000%
667,14231,אול יר אגח ב,IL0011397812,אחר,ישראל,ישראל,לא,2017-01-11,ILS,2024-07-16,0.537,1.0,0.5369,,,3.002%,0.003%
667,14231,אול יר אגח ד,IL0011412744,אחר,ישראל,ישראל,לא,2017-07-30,ILS,2024-07-16,0.135,1.0,0.13462,,,0.753%,0.001%
667,14231,אול יר אגח ה,IL0011433047,אחר,ישראל,ישראל,לא,2007-03-27,ILS,2024-07-16,0.019,1.0,0.0191,,,0.107%,0.000%
667,14231,חייבים זכאים תפעולי,60101335,חייבים וזכאים,ישראל,ישראל,לא,2018-04-12,ILS,2025-09-30,15.38,1.0,15.3796999,,,85.996%,0.085%
667,14231,מס לקבל מפעל מאושר שנת 2025,20805062,חייבים וזכאים מס,ישראל,ישראל,לא,2024-01-08,ILS,2024-01-08,0.237,1.0,0.23729,,,1.327%,0.001%
